LAD18NM,CTRY18NM,GOR10NM,health_board
Moray,Scotland,Blank,Grampian
East Dunbartonshire,Scotland,Blank,Greater Glasgow and Clyde
North Ayrshire,Scotland,Blank,Ayrshire and Arran
West Dunbartonshire,Scotland,Blank,Greater Glasgow and Clyde
West Lothian,Scotland,Blank,Lothian
Aberdeenshire,Scotland,Blank,Grampian
Perth and Kinross,Scotland,Blank,Tayside
Glasgow City,Scotland,Blank,Greater Glasgow and Clyde
Fife,Scotland,Blank,Fife
South Lanarkshire,Scotland,Blank,Lanarkshire
Orkney Islands,Scotland,Blank,Orkney
Scottish Borders,Scotland,Blank,Borders
Shetland Islands,Scotland,Blank,Shetland
South Ayrshire,Scotland,Blank,Ayrshire and Arran
Argyll and Bute,Scotland,Blank,Highland
Angus,Scotland,Blank,Tayside
City of Edinburgh,Scotland,Blank,Lothian
Dundee City,Scotland,Blank,Tayside
Stirling,Scotland,Blank,Forth Valley
Aberdeen City,Scotland,Blank,Grampian
North Lanarkshire,Scotland,Blank,Lanarkshire
Renfrewshire,Scotland,Blank,Greater Glasgow and Clyde
Na h-Eileanan Siar,Scotland,Blank,Western Isles
Clackmannanshire,Scotland,Blank,Forth Valley
Falkirk,Scotland,Blank,Forth Valley
Dumfries and Galloway,Scotland,Blank,Dumfries and Galloway
East Ayrshire,Scotland,Blank,Ayrshire and Arran
East Lothian,Scotland,Blank,Highland
East Renfrewshire,Scotland,Blank,Greater Glasgow and Clyde
Highland,Scotland,Blank,Highland
Inverclyde,Scotland,Blank,Greater Glasgow and Clyde
Midlothian,Scotland,Blank,Lothian
